Name,Release date,Price,Average playtime forever,Developers,Publishers,Genres,About the game,Estimate users,Estimated gross profit,Review score,Total days,Extras trophy,Operating System,year
Delta Force — Black Hawk Down: Team Sabre,2009-06-18,9.99,711,Ritual Entertainment,"NovaLogic,THQ Nordic",Action,"Delta Force — Black Hawk Down: Team Sabre is the official expansion pack to the #1 best selling PC game in North America. Team Sabre was developed using the Delta Force — Black Hawk Down engine and it requires the mother product to run. The game is a military-based shooter but the missions are fictitious and not based on any actual real events. The expansion follows the Team Sabre Squadron as they are deployed to take out targets and carry out mission objectives in two separate single player campaigns (*approximately 5 missions each) that take place in Columbia and Iran. The multiplayer feature boasts 30 new maps and an enhanced level of mod support for players to build their own unique maps. The highlight of this expansion pack is that it features lush jungle terrain, never seen before to this extent in a Delta Force game. This also adds an exciting element to gameplay in both the single and multiplayer game. Feature Breakdown 2 all new single player campaigns that take place in treacherous South American jungle terrain and across islands in the Persian Gulf. New Weapons &amp; Vehicles: Select from 24 weapons to achieve your mission objectives, including 3 new to the series, the H&amp;K G3A3, H&amp;K G36E and the H&amp;K PSG1 Sniper Rifle. New modes of transport include the MH-53M PaveLow IV helicopter and the RHIB Rigid Hull Inflatable Boat. Free unrivaled multiplayer mayhem — up to 64 players via NovaWorld and up to 50 players on a LAN (tbd). 30 new multiplayer maps. Uses an enhanced version of the Delta Force — Black Hawk Down engine with mod-support features for building unique multiplayer battlefields. A portion of the proceeds will be donated to the Warrior Foundation",429,4285.71,338,5309,0,True,2009
Nancy Drew®: Secret of the Scarlet Hand,2009-10-10,6.99,0,HeR Interactive,HeR Interactive,Action,"Nancy Drew®: Secret of Scarlet Hand is a first-person perspective, point-and-click adventure game. The player is Nancy Drew and has to solve a mystery. Explore rich environments for clues, interrogate suspects, and solve puzzles and mini-games. Between cases, Nancy Drew has taken an internship as Deputy Curator at the Beech Hill Museum in Washington, D.C. Nancy soon discovers she will be doing more than learning about ancient Maya artifacts–there have been a series of thefts and the only clue left behind in a mysterious scarlet handprint! Will Nancy be able to put the pieces of this ancient puzzle together? Or will the mystery remain entombed forever? Dare to Play™ Learn about the Mayan civilization and its culture Take on the role of a deputy curator for a prestigious museum. Ride the subway and visit sites around Washington D.C. Choose from Junior or Senior Detective difficulty levels.   About The Nancy Drew Adventure Series The original #1 selling PC adventure series. See a comparison of the Dossier and Adventure Series",131,915.69,94,5195,0,True,2009
Gothic® 3,2009-12-02,9.99,1573,Piranha Bytes,THQ Nordic,"Action,RPG","A nameless hero becomes a legend! Myrtana, a world in upheaval: overrun by orcs from the dark lands in the north, King Rhobar is defending Vengard, the former stronghold of the humans, with his last troop of followers. Chaos reigns without: rebels are offering resistance, and the Hashishin of the south are openly collaborating with the orcs. Rumours that the nameless hero of Khorinis is on his way to the mainland spawn both hope and worry. Whose side will he take? Who will feel his wrath, who enjoy his favor? Only one thing is sure: his deeds are going to change Myrtana forever... Liberation or annihilitaion – the fate of the world of Gothic lies in your hands! Create your own individual gaming experience through different solution paths. Dynamic, action-packed combat system: choose between Fast Attacks, deadly whirlwind close combat, or shooting from a distance. Immerse yourself in the most colorful and authentic fantasy world of all time – Myrtana awaits you! Specially designed easy combat system Clear main goalsstory driven yet dictated by players choice Huge freeroaming worldvirtually no boundaries Advanced human behavior AI for hundreds of individual characters with full audio dialogues Countless sidequests for the player to choose from Over 50 different monsters and animals and dozens of human enemies Over 50 different powerful spells and over a hundred different weapons Unique classfree character development",8714,87052.86,5398,5142,0,True,2009
Grand Ages: Rome,2009-03-20,9.99,131,Haemimont Games,Kalypso Media Digital,"Simulation,Strategy","What is Grand Ages: Rome? Grand Ages: Rome is the sequel to the best-selling strategy game Imperium Romanum. As Governor of a Roman Province in the time-honoured Roman Empire, its fortune very much lies in your hands. Choose one of five Roman noble families such as Caesar’s Julii with different abilities to accomplish the comprehensive missions. Defend yourself against barbarian tribes, trade with other cultures, build a wealthy economic environment and fullfil the needs of your people in a huge single player campaign! Features: Non-linear single player campaign with 40 missions Enhanced, multilevelled economic system and sea trade RTS-like battle system and comprehensive research opportunities 18 different warfare abilities for your units (like Praetorians, War Elephants, Triarii, etc.) Lively huge historical locations like Cyrene, Lugdunum or Rome Character development system leads through timeline of history Naval warfare and colonization of islands",690,6893.1,311,5399,0,True,2009
Delta Force: Task Force Dagger,2009-06-18,9.99,1038,NovaLogic,"NovaLogic,THQ Nordic",Action,"As the US army's elite special operations soldiers you are the most potent 'smart weapon' known to man. You are the 'tip of the spear' for covert operations around the world — you are the first line of attack. Nothing stands in your way. From the war torn streets of Somalia you have been re-deployed to take out targets in Colombia and Iran. As the US military's preemptive strike force you must work with your team to get the job done. Features BECOME THE BEST — Play as any one of these Special Forces units: SFOD-Delta, 2/75th RANGER, SEAL Team 6, SFOD-SF Viper Team (Green Berets), CIA Special Operations, UK SAS 22 Regiment, Australian SASR, Canadian JTF-2, Marines Force Recon, and USAF CSAR (Air Force Pararescue) — all the actual Special Forces units deployed in Operation Enduring Freedom. INFILTRATE ACTUAL LOCATIONS — 25 new Delta Force missions! Take over the Kandahar Airport, raid rebel headquarters in Mazar-e-Sharif, ambush a convoy near the Pakistani border and demolish bunkers in the foothills of Kabul. OVER 30 WEAPONS TO CHOOSE FROM — Gear up with a huge arsenal of machine guns, assault rifles, sniper rifles, pistols and rocket launchers new to the Delta Force series. SPY ON THE ENEMY — Plan your attack with the element of surprise using visual intelligence gathered from Unmanned Aerial Vehicles. RAIN DESTRUCTION FROM THE SKIES — Call in devastating air strikes to take out key SAM and SCUD missile sites. LARGE-SCALE MULTIPLAYER — Create your own multiplayer games and maps with the mission editor. 10 new multiplayer maps included! *Battle online via NovaWorld.",136,1358.64,79,5309,0,True,2009
Serious Sam HD: The First Encounter,2009-11-24,14.99,290,Croteam,Devolver Digital,"Action,Indie","The classic arcade FPS Serious Sam: The First Encounter, which scored an overall of 87% on Metacritic and was awarded Game of The Year 2001 on Gamespot, is now reborn in glorious high-definition for legions of long-time fans and a whole new generation of gamers around the world. Featuring dazzling visuals and revamped design, gamers take control of the legendary Sam ‘Serious’ Stone as he is sent back through time to ancient Egypt to battle the overwhelming forces of Notorious Mental and the Sirian army. Key Features Serious Engine 3 - Beautifully rendered, high-resolution visuals and lushly redesigned environments to create the most astonishing Serious Sam game ever! Frantic Non-Stop Action - From the charging Sirian Werebull to the screaming Headless Kamikaze and the multi-story Ugh-Zan, all of the infamous minions of Mental have been spectacularly redesigned for Serious Sam HD! Great Arsenal - Wield demon-stopping revolvers, lead-spewing miniguns, and monstrous cannons for when you absolutely, positively, have to kill every enemy in sight! 15 Levels of Bedlam - Set against the expansive backdrop of ancient Egypt with every square inch upgraded and reworked to create one of the most visually stunning game experiences! Co-Op Mode - Embrace the mayhem with up to 16 players in campaign mode! Steam Cloud Support - With Steam Cloud your profile is stored on the Cloud servers.",6673,100028.27,5791,5150,35,True,2009
Broken Sword 3 - the Sleeping Dragon,2009-12-02,5.99,244,Revolution Software Ltd,Revolution Software Ltd,Adventure,"An ancient conspiracy. A broken code. An unsolved murder. Welcome to Broken Sword – The Sleeping Dragon, the multi BAFTA-nominated adventure. Once more George and Nico must travel the world, wrestling danger, and piecing together the clues that will unravel the secrets of the Sleeping Dragon. Powerful seismic events are shaking the world. Something sinister is emerging. An Ancient Conspiracy, the Secret of the Templars, and a fiendish source of pure Evil are responsible. The death of a back bedroom computer hacker in Paris is just the beginning of another extraordinary adventure for George Stobbart and Nico Collard. Welcome to the world of Broken Sword. Key Features: Includes breathtaking 3D graphics A powerful and unique interface Submerge yourself into Broken Sword universe with The Sleeping Dragon’s unique visual style.",594,3558.06,76,5142,1,True,2009
Mirror's Edge™,2009-01-14,19.99,235,DICE,Electronic Arts,"Action,Adventure","In a city where information is heavily monitored, agile couriers called Runners transport sensitive data away from prying eyes. In this seemingly utopian paradise, a crime has been committed, your sister has been framed and now you are being hunted. You are a Runner called Faith and this innovative first-person action-adventure is your story. Mirror's Edge™ delivers you straight into the shoes of this unique heroine as she traverses the vertigo-inducing cityscape, engaging in intense combat and fast paced chases. With a never before seen sense of movement and perspective, you will be drawn into Faith's world. A world that is visceral, immediate, and very dangerous. Live or die? Soar or plummet? One thing is certain, in this city you will learn how to run. From the makers of the groundbreaking Battlefield franchise, Mirror's Edge is an action-adventure experience unlike any other. Features Move yourself : String together an amazing arsenal of wall-runs, leaps, vaults and more, in fluid, acrobatic movements that turns every level of the urban environment to your advantage and salvation. Immerse yourself : In first person every breath, every collision, every impact is acutely felt. Heights create real vertigo, movements flow naturally, collisions and bullet impacts create genuine fear and adrenaline. Challenge yourself : Fight or flight. Your speed and agility allow you not only to evade, capture and perform daring escapes, but also to disable and disarm unwary opponents, in a mix of chase, puzzles, strategy and intense combat. Free yourself : Runner vision allows you to see the city as they do. See the flow. Rooftops become pathways and conduits, opportunities and escape routes. The flow is what keeps you running  what keeps you alive. Awards",32645,652573.5499999999,24444,5464,0,True,2009
RACE On,2009-10-16,7.99,1,SimBin,SimBin,Racing,"RACE On brings you the epic WTCC 2008 season down to the smallest detail and now YOU get the chance to show the world who the real champion is. The RACE On Expansion Pack includes the Iconic Detroit Muscle cars suited for those who like to lay down lots of rubber power sliding out of corners on the rev limiter. Enough torque to drag the moon off orbit, full opposite lock and a big grin on your face. Or you can try your hand at the Formula Masters, a top of the line open wheel series, offering you even more speed and action than ever before. Extreme cornering speeds and simulated g-forces make this a true driver’s car. But RACE On is not just new cars, it also features brand new American tracks in SimBin quality and it comes with a hefty update of existing tracks to 2008 standard. With RACE ON comes 5 brand new tracks all recreated down to minute detail. Key Features 10 unique car models in 7 different classes 5 new tracks Various real life championships including their accurate regulations Multiplayer, up to 25 AI or real players online Ghost racing against your own lap time or against those of your friends",0,0.0,0,5189,0,True,2009
Twin Sector,2009-09-16,4.99,48,DnS Development,DnS Development,"Action,Adventure","The story of Twin Sector takes place in a post-apocalyptic future where the remains of mankind have been put to artificial sleep in cryogenic chambers deep under the contaminated surface of earth — until the planet becomes habitable again. You as the player must take the role of Ashley Simms, the protagonist of Twin Sector. Suddenly awakened by the station's security A.I. system O.S.C.A.R., you face the imminent extinction of all other still sleeping survivors due to an unknown failure in the life support system. According to O.S.C.A.R., you are the only person who was able to be woken and therefore the only individual capable of saving mankind. Within the next ten hours you will need to repair the broken main generator of the subterranean bunker system in order to reestablish the station's functionality. But there are yet unknown forces trying to prevent you from succeeding at all costs! Twin Sector is a thrilling physics-based action-adventure which allows players free interaction with their environment. Using the advantages of the powerful HAVOK®-Engine, innumerable puzzles, challenges and enemies await the players in a hostile and threatening futuristic environment. Featuring more than 15 missions alongside a thrilling story line unfolding over the course of action. Key features: More than 15 challenging missions Thrilling and exciting storyline Innovative gameplay Physics-based action-adventure Solve challenging puzzles in different ways",266,1327.34,-72,5219,0,True,2009
Indiana Jones® and the Fate of Atlantis™,2009-07-08,5.99,66,LucasArts,"LucasArts,Lucasfilm,Disney",Adventure,"The Man With The Hat Is Back In His Greatest Adventure Yet! 1939 - The eve of World War II. Nazi agents are about to get their hands on a weapon more dangerous than the atom bomb. Only Indy can stop them before they unleash the deadly secret that sank Atlantis. Point 'n’ click your way through fistfights, puzzles, balloon rides, car chases and Indy one-liners. Explore over 200 spectacular locations. Hear LucasArts' exclusive iMUSE create a musical score that follows your every move. Play and replay - three unique challenging paths to vanquish the Reich.",1096,6565.04,957,5289,0,True,2009
Combat Wings: Battle of Britain,2009-10-14,4.99,335,City Interactive,CI Games,Simulation,"Destroy the Luftwaffe! There’s something new in the air, and it’s more than the hum of hundreds of aero engines... As the Luftwaffe launches its aerial offensive, the outnumbered Royal Air Force is scrambling to bring into combat new planes that will ensure victory over a stronger foe. Will they succeed? It’s up to you, and your Hurricane or Spitfire. If you hold off the enemy long enough, you’ll be the first to fly the Hawker Tornado and Westland Whirlwind into combat, and enable the Empire to strike back before Reichsmarschall Goering finishes his breakfast. You’ll be rewarded with bonus missions, promotions, decorations, and a view of burning Berlin from the tail turret of a Halifax bomber. Join in the new Battle of Britain. Your aircraft is ready and waiting... Enjoy the realism of a detailed damage model, stunning graphics, and outstanding special effects Choose between arcade and flight simulator control modes, and the RAF or the Luftwaffe in multiplayer mode Get on board of one of realistically modeled planes, e.g. Spitfire and Hurricane and dive into the world of ultra realistic air fights",644,3213.56,368,5191,0,True,2009
Alien Shooter 2: Reloaded,2009-05-27,4.99,238,Sigma Team Inc.,Sigma Team Inc.,"Action,Indie,RPG","Alien Shooter 2 -Reloaded is a large-scale sequel to the first part of Alien Shooter. This is the unique alloy of arcade action and RPG elements which combines well-established world of classical games and unmatched dynamics of the first part. Alien Shooter 2 - Reloaded is a modified version of the Alien Shooter 2 game. Sigma Team started working on it right after release of AS2, taking into account the players' wishes: Size of the full version installation file was reduced to 300 Mb, compared to 1Gb of the original Alien Shooter 2. Large installation file prevented users with slow connection from buying and downloading the game. Player upgrade parameters simplified. Now you don't need to develop separate skills for each weapon type, so you'll be able to complete the game using all the weapon types featured in it. Two new missions added. Now the game features 17 full levels. New individual shooting mode added - Gun Stand. You will use powerful military equipment to eliminate advancing enemy troops. As the game goes on, you will upgrade your weapon in different ways, and the right choice will let you win the battle! about 10,000 monsters on each map, showing up to 100 monsters simultaneously on one playing screen Arcade action combined with sophisticated RPG elements Many hours of game play with 17 missions 3 game modes: Campaign, Survive and Gun Stand And, to crown it all, dynamic music and sound effects Natural phenomena (fog, rain, water) A variety of playable characters, each featuring unique abilities Character upgrade facility More than 50 types of weapons - now you can not just kill but also burn, freeze and even diminish the enemies More than 20 types of handy gadgets - from flare guns, radar and medkits to battle drones and much more Red or Green blood selection Highly imaginative selection of enemies Reactive music which helps to drive the action",2219,11072.81,1839,5331,0,True,2009
Alien Shooter: Revisited,2009-05-27,4.99,148,Sigma Team Inc.,Sigma Team Inc.,"Action,Indie,RPG","Crowds of blood-thirsty monsters, crawling from every corner of the secret research base. Gloomy basements and modern labs, darkness changing into blazing bulbs. The only usual thing is: you're in a bad place alone, and there's no one to help you! An improved version of a cult 2003 game which won hearts of the huge army of players worldwide. Complete game missions, earning more and more cash for weapons and inventory, use stationary weapons in the hottest places, eliminate monster spawning places with dynamite and increase your firepower with implants and drones. You've saved our poor little planet so many times... but the real hero never stops! Go ahead, great deeds are waiting for you! About 1,000 monsters on each map, showing up to 100 monsters simultaneously on one playing screen 3 game modes: Campaign, Survive and Gun Stand Full-on-action male or female character Character upgrade facility 9 weapons of mass destruction Red or Green blood selection Highly imaginative selection of enemies Reactive music which helps to drive the action Useful gadgets - flash lights, medkits, battle drones",534,2664.6600000000003,182,5331,0,True,2009
Sherlock Holmes versus Jack the Ripper,2009-12-23,9.99,360,Frogwares,Frogwares,"Adventure,RPG","Recognized as one of the best licenses in adventure gaming and lauded by the international press, Sherlock Holmes is back with an investigation that is sure to be the most horrifying of the series. In this great new adventure, the famous detective chases against the most threatening serial killer England has ever known - Jack the Ripper. It’s 1888, London, in the Whitechapel area, and a series of grisly crimes in the heart of the East End leave a gory trail of mutilated female bodies. The police struggle to pick up the scent as the bodies pile up and paranoia sweeps the city. Sherlock Holmes immerses himself in the dark, sordid alleyways of Whitechapel in order to follow the trail of the one that the press calls Jack the Ripper. During a terrifying investigation, Holmes will attempt to lift the veil of mystery that shrouds the motives and the face behind that horrific nickname. Presented in full 3D, Sherlock Holmes vs. Jack the Ripper offers players 2 different perspectives available at any moment in the game: a third-person view in the pure style of traditional point ’n’ click adventure games and a first-person view for close-up investigation. Players have the total freedom to choose either of the angles they wish or use them both to immerse themselves completely in this terrifying adventure. Features Solve one of the greatest mysteries in the history of England and discover who is Jack the Ripper! 2 mythic characters of 19th century England engage in a horrifying manhunt: the illustrious Sherlock Holmes and the terrifying Jack the Ripper. Discover the hidden side of London and the sinister streets of Whitechapel, all faithfully recreated (e.g. public work house, hospitals, brothels, etc). Switch between playing the role of the famous detective Sherlock Holmes or his trusted friend Doctor Watson. Interact with more than 30 authentic characters that help you complete your investigation. Use and combine more that 100 objects and collect hundreds of clues so you can finally uncover the real identity and motives of the perverted Jack the Ripper. 2 points-of-view available at all times: gameplay in third-person or classic first-person point-of-view, a favorite for the enthusiasts of the series. A progressive help system puts you back on track whenever you need assistance.",860,8591.4,498,5121,0,True,2009
Fallout 2: A Post Nuclear Role Playing Game,2009-08-19,9.99,455,Black Isle Studios,Bethesda Softworks,RPG,"Fallout® 2 is the sequel to the critically acclaimed game that took RPG'ing out of the dungeons and into a dynamic, apocalyptic retro-future. It's been 80 long years since your ancestors trod across the wastelands. As you search for the Garden of Eden Creation Kit to save your primitive village, your path is strewn with crippling radiation, megalomaniac mutants, and a relentless stream of lies, deceit and treachery. You begin to wonder if anyone really stands to gain anything from this brave new world. Mastering your character's skills and traits for survival, Fallout® 2 will challenge you to endure in a post-nuclear world whose future withers with every passing moment...",10888,108771.12,9397,5247,0,True,2009
Need for Speed: Shift,2009-10-06,0.0,618,Slightly Mad Studios,Electronic Arts,Racing,"Need for Speed™ SHIFT is an award-winning authentic racing game that combines the true driver’s experience with real-world physics, pixel-perfect car models, and a wide range of authentic race tracks. Need for Speed SHIFT takes players in a different direction to create a simulation experience that replicates the true feeling of driving high-end performance cars. Players are thrust into the loud, visceral, intense, athletic experience of racing a car on the edge of control from the driver’s perspective through the combination of perception based G-forces, the hyper reality of the cockpit view, and the brutal experience of a first person crash dynamic. Need for Speed SHIFT features an accurate, accessible physics-based driving model that allows you to feel every impact, every change of track surface and every last bit of grip as you push yourself to the edge. True Driver's Experience - A variety of visual cues delivers the true driver’s experience including a three-dimensional HUD that mimics driver head movement, inertia and G-forces. The depth of field also adjusts based on the speed of the car; so when the car is traveling at high speeds the perspective will shift to the distance putting the car/cockpit out of focus. Driver Profile - What kind of driver are you? Driver profile tracks the player’s evolution as a race driver from event to event. This system is made up of a driver’s personality on the track, their success rate and any profile points and badges accrued all of which work together to create a tailor-made career and game play experience. Driver profile is pervasive throughout all modes: career and online. Dynamic Crash Effect - When the player hits a static object or opponent car, the player will feel like they are 'taking damage'. A combination of visual and audio effects will leave the player disoriented and briefly disrupt the race. Total Customization - Need for Speed SHIFT features a comprehensive customization option that lets the player tailor every aspect of the cars performance and styling. Go under the hood to upgrade and tune your vehicle to increase its performance. The visual customization system allows players to personalize both the exterior and trick out the interior to reflect their individual style and preferences. Photo-Realistic Cars and Tracks - Nearly 70 licensed cars are available including the Pagani Zonda F, Audi RS4, and Porsche 911 GT3 RSR. There is also over 15 real-world locations like Willow Springs and Laguna Seca as well as fictional circuits like downtown London and Tokyo.",2665,0.0,1422,5199,0,True,2009
Braid,2009-04-10,14.99,250,Number None,Number None,"Casual,Indie,Strategy","Braid is a puzzle-platformer, drawn in a painterly style, where you can manipulate the flow of time in strange and unusual ways. From a house in the city, journey to a series of worlds and solve puzzles to rescue an abducted princess. In each world, you have a different power to affect the way time behaves, and it is time's strangeness that creates the puzzles. The time behaviors include: the ability to rewind, objects that are immune to being rewound, time that is tied to space, parallel realities, time dilation, and perhaps more. Braid treats your time and attention as precious; there is no filler in this game. Every puzzle shows you something new and interesting about the game world. Key features: Newly added Steam Cloud support Save your in-progress game to the cloud, then play where you left off from on any Steam connected computer. Forgiving yet challenging gameplay: Braid is a 2-D platform game where you can never die and never lose. Despite this, Braid is challenging — but the challenge is about solving puzzles, rather than forcing you to replay tricky jumps. Rich puzzle environment: Travel through a series of worlds searching for puzzle pieces, then solving puzzles by manipulating time: rewinding, creating parallel universes, setting up pockets of dilated time. The gameplay feels fresh and new; the puzzles are meant to inspire new ways of thinking. Aesthetic design: A painterly art style and lush, organic soundtrack complement the unique gameplay. Nonlinear story: A nonlinear fiction links the various worlds and provides real-world metaphors for your time manipulations; in turn, your time manipulations are projections of the real-world themes into playful 'what-if' universes where consequences can be explored. Nonlinear gameplay: The game doesn't force you to solve puzzles in order to proceed. If you can't figure something out, just play onward and return to that puzzle later.",8641,129528.59,7586,5378,12,True,2009
Nancy Drew®: Legend of the Crystal Skull,2009-07-17,6.99,5,HeR Interactive,HeR Interactive,Adventure,"Nancy Drew®: Legend of the Crystal Skull is a first-person perspective, point-and-click adventure game. The player is Nancy Drew and has to solve a mystery. Explore rich environments for clues, interrogate suspects, and solve puzzles and mini-games. Bruno Bolet was the proud owner of the Whisperer, a crystal skull rumored to protect its holder from almost any cause of death  except murder. When Bruno passed away, his nephew Henry came to wrap up his affairs, but he couldn't find the skull among the clutter of the creepy Bolet manor. You'll need to team up with Nancy's best friend Bess Marvin to find this mystical artifact before it falls into the wrong hands! Dare to Play Play as Nancy and Bess Marvin Outwit Bruno's pet iguana, alligator, and spider Infiltrate a secret society, unlock crypts, and collect glass eyeballs. Play arcade-style games  bowl, blast angry wasps, and dodge chomping teeth. Play Junior or Senior detective level and erase mistakes without starting over   About The Nancy Drew Adventure Series The original #1 selling PC adventure series. See a comparison of the Dossier and Adventure Series",144,1006.56,108,5280,0,True,2009
Elven Legacy,2009-04-07,0.99,9,1C:InoCo,Fulqrum Publishing,"RPG,Strategy","The shadows of destruction begin to loom on the horizon once a human mage uncovers a dark and powerful secret dating back to the remote past of the Elven race. However, the Elves cannot allow this forbidden knowledge to fall into the hands of others and thus imperil the world. For the first time in countless years, this ancient race must venture forth and interfere with events transpiring in the lands of man. With the renegade mage in their sights, the sorceress Gilwen and ranger-lord Seagate set off together, unaware that beliefs and friendships alike will soon be tested... Classic turn-based strategy gameplay Multiplayer combat in 16 different scenarios Multiple endings which depend on your choices Powerful built-in game editor",149,147.51,71,5381,0,True,2009
Shattered Horizon,2009-11-04,0.0,20,Futuremark,Futuremark,"Action,Indie","Now includes the Last Stand pack: play all game modes in single player with bots, perfect for learning the game, practicing to improve or just playing for fun. Shattered Horizon is an innovative game from Futuremark Games Studio that immerses you in the cold reality of combat in space like no other game before. This first-person shooter is played entirely in zero gravity. A catastrophic explosion on the Moon has filled near-Earth space with billions of tons of rocky debris. Join intense 32 player battles to control hollowed-out asteroids, huge fragments of Moon rock and the ruined remains of the International Space Station. With simple and intuitive controls, you have complete freedom of movement in the distinctive zero gravity environments. Not only can you use your rocket pack to fly anywhere but you can also land on any surface to attack your enemies from unexpected angles. Shattered Horizon challenges you to take your FPS skills to the next level adapting what you have learned on the battlefield to create new tactics in a fully three dimensional battle space. First-person shooter set in near-Earth space 40 years from now Experience intense zero gravity combat and complete freedom of movement Join your friends in action-packed 32 player battles or play against bots in single player mode Use your rocket pack to fly freely through space and then land on any surface Engage enemies in furious firefights, or ambush them from unexpected angles Use tactical grenades to disable electronics, block line of sight or push enemies out from cover Familiar and intuitive FPS controls let you take full advantage of the zero gravity environments Astonishing graphics and advanced lighting effects immerse you in the cold reality of combat in space Evocative soundtrack by Markus “Captain” Kaarlonen from Poets of the Fall Online leaderboards and extensive personal stats tracking",470,0.0,326,5170,0,True,2009
BRAINPIPE: A Plunge to Unhumanity,2009-07-06,0.0,14,Digital Eel,Digital Eel,"Casual,Indie","A game of lysergic excellence. - Jim Rossignol, Rock, Paper, Shotgun Like traveling through the Matrix on acid. - Joseph Vanburen, HarryBalls.com Like having sex with Yog Sothoth - the99th, Play This Thing! Brainpipe: A Plunge to Unhumanity is an easy-to-pick-up first person game of real-time spatial navigation and quick reflexes. Supported by hypnotic graphics, ear tickling sound effects and immersive dreamscape music, the game's free floating, forward moving intensity gradually increases from serene to frenetic as you play. Effortless to learn, Brainpipe's simple and intuitive interface will have you playing in seconds. Immersive and dreamlike, Brainpipe will always beckon you back for more. 10 twisty tube levels Ramping speed and intensity 8 dangerously tempting obstacles to avoid Ten levels of ramping perplexity and oddness. Mind glyphs to collect and score Hypnotic sound and music featuring EelMix Creepy eyeball buttons! Fullscreen or windowed modes Mouse, joystick and gamepad support Digital Eel makes deep games about weird stuff, going so far as to name one of their better games Weird Worlds. Then they went ahead and outdid themselves. - the99th, Play This Thing! Completely and utterly original and unbelievably addictive. - Tom Lord, TheSixthAxis The subtle doppler effect on the constant and schizophrenic audio visual assault positions you squarely inside the game in ways that most struggle at. - Brandon Boyer, Offworld Brainpipe: A Plunge to Unhumanity was the 2009 Independent Games Festival Excellence in Audio award winner.",172,0.0,120,5291,0,True,2009
Velvet Assassin,2009-05-01,4.99,33,Replay Studios,Missing Link Games,Action,"Inspired by the fascinating story and unbreakable spirit of British secret agent Violette Szabo, players take control of Violette Summer, a beautiful World War II spy deep behind enemy lines with no support or official backing from the British Government. Intense stealth action game play with a startling real-time lighting system and surreal visuals combine to produce an incredible gaming experience. Through third person game play, sneak up on enemies and pull the pins from their belted grenades. Infiltrate a Gestapo prison and slip cyanide to your own men before the Germans make them talk. And slink through the shadows to finish off your unsuspecting enemies with a single, silent move. Through Violette's fever dreams, experience what she experienced. Walk where she walked. And kill those she killed. Stealth assasinations – Execute over 50 different brutal maneuvers to deliver a quick and silent death to enemy soldiers or use the environment itself to take down Violette's foes. Dynamic lighting and shadows – Slip into the darkness of Nazi-controlled Europe and avoid the relentless searchlights of German guards that cut through your shadowy cover. Stylized environments - Explore surreal, dreamlike settings that are modeled after actual World War II locations. Unique perspective - Experience the unimaginable horrors of war through Violette’s fever dreams. Shift into Morphine Mode when Violette’s memories betray her to reposition and gain an advantage against opposing forces.",2346,11706.54,527,5357,0,True,2009
SpellForce 2 - Anniversary Edition,2009-10-29,14.99,760,"Phenomic,THQ Nordic",THQ Nordic,"RPG,Strategy","SpellForce 2 - Anniversary Edition presents the award-winning SpellForce saga hits: 'SpellForce 2 – Shadow Wars' and the add-on 'SpellForce 2 – Dragon Storm' for a spectacular game experience! Experience the age of heroes: roleplaying action &amp; realtime strategy in a perfect mix of genres. Mysterious powers arise from darkness and shadow. They are threatening Eo, the world of SpellForce, already devastated by wars and sundered by intrigues. A hero, born of the legendary Shaikan and linked by a life bond with an ancient dragon now holds the fate of the world in his hands! Unite powerful heroes and armies under your banners, as only with joined forces you can combat this threatening doom! The burden of ancient blood is heavy, and it is yours to carry… Fight epic campaigns with your heroes, with over 90 hours of playing time. Individual development of the avatar and heroes with an extensive skill tree! Control various game factions with three races each in a life-like fantasy world. Command infantry, mounted and flying units, and unleash the enormous titans! Experience spectacular mass battles in breath-taking 3D graphics! Anniversary Edition Features: Re-implemented multiplayer and NAT traversal for a smooth online experience Many Bugfixes Additions and Fixes for the Free Game Mode Widescreen Support Full compatibility with modern operating systems Major Engine &amp; Technical Re-Design/Re-Work: Grass rendering improved View distance improvements Improved trees (trunk/branch) Improved leaf rendering (add leaf subsurface scattering) Improved lighting (per pixel, basic Bidirectional reflectance distribution function specular, rim light, view dependent ambient, etc) Improved shadows (soft shadows, percentage-closer filtering) Shader Model 3.0 usage only",969,14525.31,461,5176,1,True,2009
Zombie Bowl-o-Rama,2009-10-15,9.99,11,MumboJumbo,MumboJumbo,"Sports,Casual","Bowl or Beware! From the depths of the graveyard…a gruesome gang in search of brains! When Zombies show up at the town’s lanes, it’s up to you to put ‘em back in the ground! The Zombies have taken over your favorite lanes, and it’s up to you to send ‘em back to the graveyard where they belong! Select a colorful character to take on the attacking Zombies with your favorite ball and a few tricks and treats. Give a whole new meaning to Zombie strike when you set ‘em up and take ‘em down with cool power ups and tricky obstacles. Six screamy lanes to battle your way through to the big Showdown! 10 terrifying balls and 1 Zombie head to choose from Crafty tricks to throw those Zombies for a loop: Werewolves, MiniCorpses, Buzz Saw and Dance Fever Delectable treats to help you knock ‘em dead: ZombieNator, Meatball, ZomBees and Brain Balls Zombies advance if you miss them the first time, so get your aim on!",378,3776.22,273,5190,21,True,2009
